Distance,Name,Constellation
0,The Sun (Sol),...
4.4,Alpha Centauri A,Centaurus
11.9,Tau Ceti,Cetus
18.8,Sigma Draconis,Draco
19.4,Eta Cassiopeiae A,Cassiopeia
19.8,82 Eridani,Eridanus
19.9,Delta Pavonis,Pavo
21.8,Xi Bootis A,Bootes
24.4,Beta Hydri,Hydrus
24.6,Mu Cassiopeiae A,Cassiopeia
27.3,Alula Australis Ba,Ursa Major
27.3,Chara,Canes Venatici
27.4,Mu Herculis Aa,Hercules
27.8,61 Virginis,Virgo
28.3,Chi1 Orionis A,Orion
28.7,41 Arae A,Ara
29.9,Groombridge 1830,Ursa Major
29.9,Kappa Ceti,Cetus
30.1,HR 4523 A,Centaurus
31.1,61 Ursae Majoris,Ursa Major
33.1,Alpha Mensae,Mensa
34.4,Iota Persei,Perseus
35.2,Zeta Herculis B,Hercules
35.4,Delta Trianguli A,Triangulum
36.5,11 Leonis Minoris A,Leo Minor
37,Muphrid A,Bo?tes
38.3,Lambda Serpentis,Serpens Caput
38.4,Iota Pegasi B,Pegasus
39.4,Zeta2 Reticuli,Reticulum
39.9,Zeta1 Reticuli,Reticulum
40.4,85 Pegasi Aa,Pegasus
40.9,55 (Rho1) Cancri - Rho1 A,Cancer
41,HR 3259,Puppis
41.2,HR 483 A,Andromeda
41.2,Lambda Aurigae,Auriga
41.4,HR 683,Fornax
41.6,44 (i) Bootis B,Bo?tes
41.6,44 (i) Bootis C,Bo?tes
42,HR 6094 A,Scorpius
42.1,HR 4587,Virgo
42.2,Capella Aa/A,Auriga
42.2,Capella Ab/B/P,Auriga
42.4,HR 6998,Sagittarius
43.4,58 Eridani,Eridanus
44.4,HR 8501 A,Grus
44.7,Alshain A,Aquila
44.8,CD-57 6303,Norma
45.8,18 Scorpii,Scorpius
45.9,47 Ursae Majoris,Ursa Major
46,26 Draconis,Draco
46,Alpha Fornacis B,Fornax
46.6,Pi1 Ursae Majoris,Ursa Major
46.9,BD+39 2947 A,Corona Borealis
46.9,72 Herculis A?,Hercules
47.5,Nu2 Lupi,Lupus
47.8,HR 7898,Capricornus
47.8,Psi Serpentis Aa,Serpens
48.6,20 Leonis Minoris,Leo Minor
48.7,HR 209 A,Phoenix
49.2,Gl 264.1 B,Puppis
49.4,31 Aquilae,Aquila
49.6,171 Puppis A,Puppis
49.7,HR 5864 A,Lupus
49.8,Mu Arae,Ara
50.1,51 Pegasi,Pegasus
50.2,BD+37 783,Perseus
50.5,HR 7368,Lyra
50.7,HR 159 Aa,Cetus
50.7,HR 159 B,Cetus
50.8,HR 2007,Orion
51,HR 8323,Grus
51.8,104 Tauri,Taurus
51.8,HR 7670 A,Cygnus
52.8,HR 3138 Aa,Carina
53,HR 2667 Aa,Puppis
53.6,10 Ursae Majoris B,Ursa Major
53.6,HR 6516 A,Ophiuchus
53.6,HR 6516 B,Ophiuchus
53.9,Psi5 Aurigae,Auriga
54.1,HR 5273 A,Bo?tes
54.4,9 Puppis B,Puppis
54.4,HR 2225,Canis Major
54.6,39 Tauri A?,Taurus
54.8,BD+03 2765 A,Virgo
54.8,"BD+03 2766, 2765 B",Virgo
54.8,BD+29 1664,Gemini
55,HR 2721,Lynx
55.2,V2292 Ophiuchi,Ophiuchus
55.6,HR 2997,Camelopardalis
55.8,HR 3538,Hydra
56,HR 7232,Corona Australis
56,HR 4864,Coma Berenices
56.2,Iota Horologii,Horologium
56.3,37 Geminorum,Gemini
56.4,BD-00 2944 A?,Serpens Caput
56.6,HR 6748,Puppis
56.7,10 Canum Venaticorum,Canes Venatici
56.8,Rho Coronae Borealis,Corona Borealis
57,39 Serpentis A,Serpens
57,Chi Eridani A,Eridanus
57.3,HR 7783,Draco
57.4,HR 5384,Virgo
57.5,GJ 3021,Hydrus
57.6,15 Sagittae A,Sagitta
57.8,HR 7644,Pavo
57.9,BD+27 1775 A,Leo
57.9,Iota Pavonis A,Pavo
58,HR 4525,Hydra
58.5,HR 5534 A,Bo?tes
58.6,59 Virginis,Virgo
58.9,BD+47 2420,Hercules
59,CD-28 12769,Ophiuchus
59.1,70 Virginis,Virgo
59.1,HR 2208 A?,Orion
59.4,Pi Mensae,Mensa
60,HN Pegasi,Pegasus
60.1,15 Leonis Minoris,Leo Minor
60.2,BD+69 238,Camelopardalis
60.7,Eta Coronae Borealis Aa,Corona Borealis
60.7,Eta Coronae Borealis Ba,Corona Borealis
61.1,HR 8148 Aa,Capricornus
61.1,HR 8148 B,Capricornus
61.4,CD-23 315,Cetus
61.6,HR 7683 A,Cygnus
62.3,HR 2643,Gemini
62.7,BD-01 1883 A,Monoceros
63.1,BD+15 4026,Aquila
63.3,CD-31 17597,Sagittarius
63.5,HR 6465,Ophiuchus
63.6,CD-24 658 A,Cetus
63.8,CP-60 424,Dorado
63.9,BD+81 482,Ursa Minor
64.2,BD+03 2938,Virgo
64.2,BD+37 1738,Lynx
64.3,HD 217107,Pisces
64.4,V368 Cephei,Cepheus
65,HR 3430 Aa,Pyxis
65,HR 5209,Hydra
65.2,BD+57 1961,Draco
65.3,BD+18 4505 A,Sagitta
65.4,BD+18 1074,Gemini
65.5,53 Aquarii A,Aquarius
65.5,53 Aquarii B,Aquarius
65.8,BD+21 3822,Vulpecula
66.2,V640 Cassiopeiae A,Cassiopeia
66.2,V640 Cassiopeiae B,Cassiopeia
66.4,CP-74 1218,Apus
66.5,BE Ceti,Cetus
66.6,Kappa Tucanae B,Tucana
66.8,CD-68 2223,Pavo
66.8,HR 4979,Centaurus
66.8,Pi1 Cancri Aa,Cancer
67.1,50 Persei B,Perseus
67.3,BD+44 1973,?Ursa Major
67.4,BD+16 527 A,Taurus
67.5,CD-41 15204 A,Grus
67.6,94 Aquarii Aa,Aquarius
67.9,BD+14 512,Gemini
68,HR 7330,Sagittarius
68.2,Tau Cygni Ab/B,Cygnus
68.4,HR 7260 A,Sagitta
68.4,HR 7914 A,Delphinus
68.4,BD+68 113,Cassiopeia
68.6,13 Ceti Ba,Cetus
69,51 Arietis,Aries
69.1,BD+05 614 A,Taurus
69.1,V891 Tauri,Taurus
69.4,HD 210277,Aquarius
69.6,HR 5070,Ursa Major
69.6,BD+02 3001,Serpens Caput
69.8,BD+59 736 A,Camelopardalis
69.8,BD+45 404,Andromeda
70,BD+25 3020 A,Serpens Caput
70.2,BD+27 1490,Gemini
70.3,BD+57 1438,Ursa Major
70.5,CD-44 14214,Microscopium
70.5,16 Cygni A,Cygnus
70.5,16 Cygni B,Cygnus
70.6,CD-25 8519,Hydra
70.7,HR 2468 A,Pictor
70.7,CD-57 6486,Ara
70.7,Sigma Coronae Borealis B,Corona Borealis
70.8,BD+32 1695,Cancer
70.8,HR 5829 A,Ursa Minor
70.8,HR 4345,Ursa Major
71,BD-00 2024,Hydra
71,HR 2882,Puppis
71.1,HR 3309,Lynx
71.2,BD+27 1490,Gemini
71.3,CD-66 38,Tucana
71.3,BD+57 1438,Ursa Major
71.3,CD-31 12689,Scorpius
71.5,Kappa Fornacis,Fornax
71.7,BD-4 3049,Leo
71.9,HR 2318,Canis Major
71.9,HR 5829 A,Ursa Minor
71.9,HR 5829 B,Ursa Minor
72,BD-05 138,Cetus
72.1,CD-29 8316,Hydra
72.2,BD-04 3408,Virgo
72.2,HR 8477,Grus
72.2,CD-74 1463,Indus
72.2,BD+65 210,Cassiopeia
72.5,BD+41 3799 A,Cygnus
72.6,CD-56 1071 A,Dorado
72.6,BD+30 1423,Gemini
72.7,BD-02 3804,Virgo
72.8,BD+47 2491,Hercules
73.1,Mu1 Cygni Ba,Cygnus
73.2,CD-29 17282,Microscopium
73.4,CD-51 2507,Carina
73.8,CD-47 14099,Grus
74,HR 6847,Lyra
