AAA 	NTGA 	Anaa Airport 	Anaa; Tuamotus; French Polynesia
AAB 	YARY 	Arrabury Airport 	Arrabury; Queensland; Australia
AAC 	HEAR 	El Arish International Airport 	El Arish; Egypt
AAE 	DABB 	Rabah Bitat Airport (Les Salines Airport) 	Annaba; Algeria
AAF 	KAAF 	Apalachicola Municipal Airport 	Apalachicola; Florida; United States
AAG 	SSYA 	Arapoti Airport 	Arapoti; Paraná; Brazil
AAH 	EDKA 	Merzbrück Airport 	Aachen; Germany
AAI 	SWRA 	Arraias Airport 	Arraias; Tocantins; Brazil
AAJ 		Cayana Airstrip 	Awaradam; Suriname
AAK 	NGUK 	Aranuka Airport 	Aranuka; Kiribati
AAL 	EKYT 	Aalborg Airport 	Aalborg; Denmark
AAM 	FAMD 	Mala Mala Airport 	Mala Mala; South Africa
AAN 	OMAL 	Al Ain International Airport 	Al Ain; United Arab Emirates
AAO 	SVAN 	Anaco Airport 	Anaco; Venezuela
AAP 	KAAP 	Andrau Airpark 	Houston; Texas; United States
AAQ 	URKA 	Anapa Airport 	Anapa; Russia
AAR 	EKAH 	Aarhus Airport 	Aarhus; Denmark
AAS 		Apalapsili Airport 	Apalapsili; Indonesia
AAT 	ZWAT 	Altay Airport 	Altay; Xinjiang; China
AAU 	NSAU 	Asau Airport 	Asau; Samoa
AAV 	RPMA 	Allah Valley Airport 	Surallah; South Cotabato; Philippines
AAW 	OPAB 	Abbottabad Airport 	Abbottabad; Pakistan
AAX 	SBAX 	Araxá Airport 	Araxá; Minas Gerais; Brazil
AAY 	OYGD 	Al Ghaydah Airport 	Al Ghaydah; Yemen
AAZ 	MGQZ 	Quetzaltenango Airport 	Quetzaltenango; Guatemala
-AB-
ABA 	UNAA 	Abakan Airport 	Abakan; Khakassia; Russia
ABB 	EGUD 	RAF Abingdon 	Abingdon; England; United Kingdom
ABD 	OIAA 	Abadan Airport 	Abadan; Iran
ABE 	KABE 	Lehigh Valley International Airport 	Allentown; Pennsylvania; United States
ABF 	NGAB 	Abaiang Atoll Airport 	Abaiang; Kiribati
ABG 		Abingdon Airport 	Abingdon; Queensland; Australia
ABH 	YAPH 	Alpha Airport 	Alpha; Queensland; Australia
ABI 	KABI 	Abilene Regional Airport 	Abilene; Texas; United States
ABJ 	DIAP 	Port Bouet Airport (Felix Houphouet Boigny Int'l) 	Abidjan; Côte d'Ivoire
ABK 	HAKD 	Kabri Dar Airport 	Kabri Dar (Kabre Dare); Ethiopia
ABL 	PAFM 	Ambler Airport (FAA: AFM) 	Ambler; Alaska; United States
ABM 	YBAM 	Bamaga Injinoo Airport 	Bamaga; Queensland; Australia
ABN 	SMBN 	Albina Airport 	Albina; Suriname
ABO 	DIAO 	Aboisso Airport 	Aboisso; Côte d'Ivoire
ABP 		Atkamba Airport 	Atkamba; Papua New Guinea
ABQ 	KABQ 	Albuquerque International Sunport 	Albuquerque; New Mexico; United States
ABR 	KABR 	Aberdeen Regional Airport 	Aberdeen; South Dakota; United States
ABS 	HEBL 	Abu Simbel Airport 	Abu Simbel; Egypt
ABT 	OEBA 	Al-Baha Domestic Airport 	Al-Baha; Saudi Arabia
ABU 	WRKA 	Haliwen Airport 	Atambua; Indonesia
